actor_account,login_count,logout_count,login_day_count,play_time,avg_money,ip_count,max_level
20000000,25.0,24.0,1.0,216416.0,-31.818904332396865,25.0,36.0
20000005,259.0,259.0,1.0,637926.0,124.8494652984829,259.0,0.0
20000011,13.0,12.0,1.0,451598.0,0.5378079619484586,13.0,22.0
20000016,38.0,37.0,1.0,401885.0,43.509961804993964,38.0,42.0
20000025,222.0,221.0,1.0,424827.0,82.62171660464142,222.0,0.0
20000029,461.0,458.0,1.0,648635.0,-52.25292807202818,461.0,0.0
20000033,43.0,42.0,1.0,240334.0,-6.613812444348282,43.0,38.0
20000035,25.0,24.0,1.0,1205493.0,0.08853058458240737,25.0,0.0
20000041,49.0,48.0,1.0,187301.0,57.57229272668059,49.0,44.0
20000042,19.0,18.0,1.0,173932.0,6.579496584872249,19.0,29.0
20000045,1.0,1.0,1.0,174.0,0.0,1.0,0.0
20000051,110.0,109.0,1.0,457433.0,-32.87487785096397,110.0,0.0
20000054,7.0,7.0,1.0,77093.0,0.12647062638631262,7.0,19.0
20000061,161.0,160.0,1.0,1222761.0,6.296686760536196,161.0,0.0
20000063,48.0,46.0,1.0,382517.0,5.80970780383617,48.0,47.0
20000064,9.0,9.0,1.0,14596.0,164.20896135927651,9.0,0.0
20000071,50.0,48.0,1.0,218017.0,-3.2369218914121376,50.0,31.0
20000072,35.0,36.0,1.0,287488.0,0.13598480632235085,35.0,36.0
20000079,2.0,2.0,1.0,12862.0,-14.395894884154874,2.0,15.0
20000082,1.0,1.0,1.0,2651.0,76.1686156167484,1.0,0.0
20000085,13.0,13.0,1.0,187187.0,0.2387932922692281,13.0,28.0
20000087,3.0,3.0,1.0,11149.0,0.16736927078661765,3.0,7.0
20000088,115.0,116.0,1.0,630830.0,-13.05386395700902,115.0,37.0
20000090,82.0,82.0,1.0,84170.0,0.0,82.0,23.0
20000092,17.0,16.0,1.0,608387.0,25.87390263105556,17.0,0.0
20000096,6.0,6.0,1.0,7643.0,-846.9702996205679,6.0,0.0
20000105,1.0,1.0,1.0,12094.0,0.7274681660327436,1.0,8.0
20000107,25.0,25.0,1.0,96641.0,16.83486304984427,25.0,48.0
20000108,19.0,19.0,1.0,20567.0,-2651.777556279477,19.0,0.0
20000109,3.0,3.0,1.0,10084.0,-13.014081713605712,3.0,0.0
20000111,59.0,59.0,1.0,195585.0,-3.305631822481274,59.0,29.0
20000112,42.0,41.0,1.0,145355.0,-1.609961817618933,42.0,0.0
20000113,5.0,5.0,1.0,15095.0,-10.962636634647234,5.0,19.0
20000117,36.0,35.0,1.0,1148470.0,0.2727193570576506,36.0,0.0
20000124,176.0,175.0,1.0,512291.0,16.759203265331617,176.0,48.0
20000126,8.0,8.0,1.0,1567.0,409.56732610082963,8.0,0.0
20000127,2.0,2.0,1.0,7695.0,-140.17569850552306,2.0,0.0
20000130,198.0,199.0,1.0,403411.0,20.763229064155414,198.0,41.0
20000131,171.0,170.0,1.0,541396.0,0.9202727763042209,171.0,41.0
20000135,15.0,13.0,1.0,1096369.0,-9.54334626389473,15.0,50.0
20000143,12.0,12.0,1.0,17418.0,59.16035136066139,12.0,0.0
20000154,28.0,28.0,1.0,128679.0,-36.47134342044934,28.0,39.0
20000155,1.0,1.0,1.0,231.0,0.0,1.0,0.0
20000157,66.0,68.0,1.0,1134932.0,-0.12971790380392834,66.0,0.0
20000175,2.0,2.0,1.0,147.0,0.0,2.0,0.0
20000177,17.0,15.0,1.0,84271.0,10.981690023851622,17.0,28.0
20000184,22.0,20.0,1.0,1160285.0,-64.41826189255227,22.0,0.0
