actor_account,login_count,logout_count,login_day_count,play_time,avg_money,ip_count,max_level,playtime_per_day,sit_count,exp_get_amout,item_get_count,exp_repair_count,money_get_count,abyss,use_portal_count,killed_by_pc,killed_by_npc,teleport_count,reborn_count,question_count,sit_count_perday,item_get_count_perday,exp_repair_count_perday,money_get_count_perday,use_portal_count_perday,teleport_count_perday,total_party_time,guild_join_count,average_party_time,login_total_day
20100015,29.0,29.0,1.0,26537.0,293.30048611372797,29.0,0.0,6634.25,32.0,633778.0,31.0,0.0,1.0,0.0,1.0,20.0,16.0,51.0,27.0,0.0,8.0,7.75,0.0,0.25,0.25,12.75,28.0,0.0,28.0,4.0
20100016,24.0,25.0,1.0,128529.0,-7.306810136233847,24.0,18.0,21421.5,89.0,55372170.0,10758.0,0.0,708.0,0.0,0.0,20.0,7.0,57.0,13.0,22.0,14.833333333333336,1793.0,0.0,118.0,0.0,9.5,5347.0,0.0,1782.333333333333,6.0
20100017,178.0,178.0,1.0,336731.0,-67.63189311349416,178.0,47.0,48104.428571428565,176.0,506868686.0,110506.0,0.0,4221.0,0.0,3.0,15.0,89.0,516.0,79.0,124.0,25.142857142857146,15786.571428571433,0.0,603.0,0.42857142857142855,73.71428571428571,7801.0,0.0,1950.25,7.0
20100021,90.0,90.0,1.0,138319.0,285.3771788402172,90.0,29.0,19759.85714285714,147.0,183334028.0,87532.0,0.0,1654.0,0.0,0.0,20.0,35.0,240.0,41.0,50.0,21.0,12504.571428571433,0.0,236.28571428571428,0.0,34.285714285714285,3274.0,0.0,1637.0,7.0
20100029,107.0,107.0,1.0,259596.0,74.03300513104979,107.0,41.0,37085.142857142855,200.0,100158058.0,22235.0,0.0,1703.0,0.0,0.0,11.0,67.0,289.0,54.0,134.0,28.57142857142857,3176.4285714285716,0.0,243.28571428571428,0.0,41.285714285714285,67442.0,0.0,2175.548387096774,7.0
20100044,31.0,31.0,1.0,153719.0,39.81278176412805,31.0,0.0,21959.85714285714,39.0,194485253.0,60049.0,0.0,1980.0,0.0,1.0,88.0,33.0,212.0,75.0,20.0,5.571428571428571,8578.42857142857,0.0,282.85714285714283,0.14285714285714285,30.285714285714285,15271.0,0.0,1908.875,7.0
20100055,121.0,120.0,1.0,213696.0,-120.60577175052413,121.0,35.0,30528.0,325.0,160268302.0,1323.0,0.0,1019.0,0.0,0.0,50.0,15.0,189.0,40.0,152.0,46.42857142857143,189.0,0.0,145.57142857142858,0.0,27.0,12134.0,0.0,1733.4285714285709,7.0
20100059,5.0,5.0,1.0,14881.0,-75.8396613130838,5.0,38.0,3720.25,26.0,12966659.0,419.0,0.0,110.0,0.0,0.0,0.0,5.0,23.0,5.0,40.0,6.5,104.75,0.0,27.5,0.0,5.75,2814.0,0.0,2814.0,4.0
20100060,19.0,19.0,1.0,117630.0,-468.73365638017515,19.0,35.0,16804.285714285714,91.0,45496142.0,21069.0,0.0,208.0,0.0,0.0,7.0,36.0,84.0,38.0,27.0,13.0,3009.857142857143,0.0,29.714285714285715,0.0,12.0,17899.0,0.0,2237.375,7.0
20100064,15.0,15.0,1.0,593375.0,0.09406698967769116,15.0,48.0,84767.85714285714,324.0,571379036.0,1472.0,0.0,6150.0,0.0,0.0,35.0,206.0,302.0,202.0,18.0,46.28571428571429,210.28571428571428,0.0,878.5714285714287,0.0,43.14285714285715,0.0,0.0,0.0,7.0
20100074,51.0,50.0,1.0,69488.0,-179.16244531429885,51.0,0.0,9926.857142857143,0.0,377280.0,63864.0,0.0,57.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,9123.42857142857,0.0,8.142857142857142,0.0,5.142857142857143,0.0,0.0,0.0,7.0
20100077,23.0,23.0,1.0,77049.0,-189.93083622110612,23.0,0.0,11007.0,114.0,104177556.0,649.0,0.0,804.0,0.0,0.0,67.0,33.0,106.0,43.0,14.0,16.285714285714285,92.71428571428572,0.0,114.85714285714286,0.0,15.142857142857142,0.0,0.0,0.0,7.0
20100094,3.0,4.0,1.0,94412.0,104.0174554082108,3.0,0.0,94412.0,117.0,50159353.0,1183.0,0.0,136.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,117.0,1183.0,0.0,136.0,0.0,4.0,0.0,0.0,0.0,1.0
20100102,16.0,16.0,1.0,107987.0,-4.489873781103281,16.0,32.0,21597.4,23.0,25194790.0,1031.0,0.0,159.0,0.0,0.0,0.0,48.0,76.0,37.0,48.0,4.6,206.2,0.0,31.8,0.0,15.2,7221.0,0.0,2407.0,5.0
20100103,16.0,15.0,1.0,98484.0,1.556374639535356,16.0,37.0,14069.142857142857,197.0,44194502.0,480.0,0.0,412.0,0.0,0.0,0.0,31.0,75.0,25.0,2.0,28.142857142857146,68.57142857142857,0.0,58.85714285714285,0.0,10.714285714285714,27768.0,0.0,2776.8,7.0
20100112,168.0,168.0,1.0,251692.0,22.0314630580233,168.0,37.0,35956.0,118.0,252690693.0,29817.0,0.0,2269.0,0.0,0.0,44.0,67.0,280.0,54.0,363.0,16.857142857142858,4259.571428571428,0.0,324.14285714285717,0.0,40.0,2856.0,0.0,714.0,7.0
20100116,9.0,8.0,1.0,507438.0,0.2685943898564948,9.0,0.0,72491.14285714286,1354.0,803883246.0,51456.0,0.0,7017.0,0.0,0.0,0.0,6.0,22.0,6.0,3571.0,193.42857142857144,7350.857142857143,0.0,1002.4285714285713,0.0,3.1428571428571432,0.0,0.0,0.0,7.0
20100118,5.0,5.0,1.0,97748.0,-5.062047305315709,5.0,40.0,24437.0,41.0,93383032.0,875.0,0.0,1039.0,0.0,0.0,5.0,33.0,92.0,30.0,43.0,10.25,218.75,0.0,259.75,0.0,23.0,15572.0,0.0,7786.0,4.0
20100119,69.0,69.0,1.0,278074.0,-0.3400821364097327,69.0,41.0,39724.857142857145,365.0,176973165.0,8063.0,0.0,1362.0,0.0,15.0,30.0,65.0,294.0,85.0,171.0,52.14285714285714,1151.857142857143,0.0,194.57142857142856,2.142857142857143,42.0,1563.0,1.0,781.5,7.0
20100124,11.0,11.0,1.0,59260.0,38.467397907526156,11.0,0.0,14815.0,14.0,82412452.0,13381.0,0.0,526.0,0.0,0.0,4.0,1.0,28.0,2.0,139.0,3.5,3345.25,0.0,131.5,0.0,7.0,0.0,0.0,0.0,4.0
20100129,64.0,64.0,1.0,140842.0,-12.123741497564644,64.0,29.0,23473.66666666667,407.0,59378491.0,1995.0,0.0,604.0,0.0,2.0,134.0,86.0,322.0,152.0,19.0,67.83333333333333,332.5,0.0,100.66666666666669,0.3333333333333333,53.66666666666666,3149.0,0.0,1574.5,6.0
20100154,14.0,14.0,1.0,423395.0,-10.192142089538137,14.0,0.0,60485.0,1327.0,371109030.0,9043.0,0.0,5411.0,0.0,0.0,0.0,212.0,182.0,169.0,7.0,189.57142857142856,1291.857142857143,0.0,773.0,0.0,26.0,0.0,0.0,0.0,7.0
20100157,14.0,14.0,1.0,64202.0,-9.485187377340267,14.0,0.0,12840.4,17.0,133978428.0,20351.0,0.0,941.0,0.0,0.0,0.0,8.0,32.0,8.0,6.0,3.4,4070.2,0.0,188.2,0.0,6.4,0.0,0.0,0.0,5.0
20100186,28.0,28.0,1.0,493920.0,0.22502227081308715,28.0,39.0,70560.0,1038.0,172801691.0,28226.0,0.0,1492.0,0.0,0.0,123.0,37.0,158.0,130.0,727.0,148.28571428571428,4032.285714285714,0.0,213.14285714285717,0.0,22.57142857142857,0.0,0.0,0.0,7.0
20100202,36.0,35.0,1.0,204868.0,-22.66646328367534,36.0,46.0,29266.857142857134,110.0,272581555.0,106237.0,0.0,1847.0,0.0,0.0,27.0,34.0,245.0,53.0,209.0,15.714285714285715,15176.714285714286,0.0,263.85714285714283,0.0,35.0,4223.0,0.0,1055.75,7.0
20100204,55.0,54.0,1.0,215428.0,76.64112835843065,55.0,49.0,43085.6,85.0,193432642.0,36160.0,0.0,1241.0,0.0,0.0,39.0,30.0,135.0,48.0,40.0,17.0,7232.0,0.0,248.2,0.0,27.0,33983.0,0.0,8495.75,5.0
20100211,17.0,17.0,1.0,524733.0,-2.5061659929907205,17.0,43.0,74961.85714285714,7068.0,381449878.0,43069.0,0.0,92.0,0.0,0.0,127.0,16.0,157.0,119.0,1109.0,1009.7142857142856,6152.7142857142835,0.0,13.142857142857142,0.0,22.428571428571423,0.0,0.0,0.0,7.0
20100231,6.0,6.0,1.0,38764.0,-20.64701785161489,6.0,29.0,9691.0,30.0,17463523.0,7560.0,0.0,424.0,0.0,0.0,2.0,13.0,44.0,11.0,8.0,7.5,1890.0,0.0,106.0,0.0,11.0,8294.0,0.0,4147.0,4.0
