login_count,play_time,max_level,playtime_per_day,abyss,sit_count,exp_get_amout,money_get_count,teleport_count,killed_by_pc,killed_by_npc,reborn_count,login_total_day,sit_count_perday,login_total_day,item_get_count_perday,money_get_count_perday,use_portal_count_perday,teleport_count_perday,total_party_time,sit_count/play_time,killed_by_pc/play_time,killed_by_npc/play_time,total-party_time/play_time,teleport_count/play_time,play_time/login_count,exp_get_amount/play_time,playtime_per_day/login_total_day,max_level/login_count,reborn_count/login_count,sit_count/max_level,play_time/question_count,actor_account,class
25,216416,36,24046.22222,0,489,77894680,499,194,11,83,72,9,54.33333333,9,301.3333333,55.44444444,0,21.55555556,47052,0.002259537,5.08E-05,0.000383521,0.217414609,0.000896422,8656.64,359.9303194,2671.802469,1.44,2.88,13.58333333,2516.465116,20000000,0
259,637926,0,42528.4,0,270,389149580,4686,376,47,30,51,15,18,15,2076.6,312.4,0,25.06666667,8862,0.000423247,7.37E-05,4.70E-05,0.013891893,0.00058941,2463.034749,610.0230748,2835.226667,0,0.196911197,0,10289.12903,20000005,0
13,451598,22,75266.33333,0,66,7602992,281,57,5,14,18,6,11,6,5241,46.83333333,0,9.5,0,0.000146148,1.11E-05,3.10E-05,0,0.000126218,34738.30769,16.83575215,12544.38889,1.692307692,1.384615385,3,75266.33333,20000011,1
38,401885,42,28706.07143,0,153,80119427,1596,343,32,75,75,14,10.92857143,14,4398.5,114,0,24.5,69458,0.000380706,7.96E-05,0.000186621,0.172830536,0.000853478,10575.92105,199.3590878,2050.433674,1.105263158,1.973684211,3.642857143,68.19701341,20000016,0
222,424827,0,28321.8,0,552,322403224,2415,776,214,111,241,15,36.8,15,1954.6,161,0.533333333,51.73333333,37560,0.001299352,0.000503734,0.000261283,0.08841246,0.001826626,1913.635135,758.90474,1888.12,0,1.085585586,0,3242.954198,20000025,0
461,648635,0,43242.33333,0,740,529054949,5754,1023,572,101,432,15,49.33333333,15,6422.866667,383.6,0,68.2,58515,0.001140857,0.000881852,0.000155712,0.090212523,0.001577158,1407.017354,815.6435422,2882.822222,0,0.937093275,0,904.651325,20000029,0
43,240334,38,17166.71429,0,378,142485377,1318,337,35,53,69,14,27,14,1763.285714,94.14285714,0,24.07142857,43619,0.001572811,0.000145631,0.000220526,0.181493255,0.001402215,5589.162791,592.8640018,1226.193878,0.88372093,1.604651163,9.947368421,2477.670103,20000033,0
25,1205493,0,80366.2,0,207,1377552887,7979,44,0,12,10,15,13.8,15,7319.666667,531.9333333,0,2.933333333,0,0.000171714,0,9.95E-06,0,3.65E-05,48219.72,1142.729893,5357.746667,0,0.4,0,0,20000035,0
49,187301,44,12486.73333,0,406,189000014,2571,256,11,38,44,15,27.06666667,15,322.6,171.4,0,17.06666667,31662,0.002167634,5.87E-05,0.000202882,0.169043411,0.001366784,3822.469388,1009.071035,832.4488887,0.897959184,0.897959184,9.227272727,3405.472727,20000041,0
19,173932,29,57977.33333,0,1385,30190361,938,52,6,14,20,3,461.6666667,3,4855,312.6666667,0,17.33333333,0,0.007962882,3.45E-05,8.05E-05,0,0.000298967,9154.315789,173.575656,19325.77778,1.526315789,1.052631579,47.75862069,28988.66667,20000042,1
110,457433,0,30495.53333,0,320,395099069,3551,568,311,109,261,15,21.33333333,15,6557.866667,236.7333333,0.066666667,37.86666667,40934,0.000699556,0.000679881,0.000238286,0.089486329,0.001241712,4158.481818,863.7310142,2033.035555,0,2.372727273,0,5717.9125,20000051,0
7,77093,19,15418.6,0,85,3969282,440,81,0,22,19,5,17,5,815,88,0,16.2,4294,0.001102564,0,0.00028537,0.055698961,0.001050679,11013.28571,51.48693137,3083.72,2.714285714,2.714285714,4.473684211,755.8137255,20000054,0
161,1222761,0,81517.4,0,4907,1569662439,42101,70,0,12,9,15,327.1333333,15,6053.333333,2806.733333,0,4.666666667,0,0.004013049,0,9.81E-06,0,5.72E-05,7594.78882,1283.703388,5434.493333,0,0.055900621,0,0,20000061,0
