trade_go,trade_come,buy_from_shop,sell_to_shop,buy_from_personal_shop,sell_to_person,mail_go,mail_come,invite,join,revival,fight,friend_num,friend_num_change_count,too_much_gain,too_much_AP,trade_go_perday,trade_come_perday,buy_from_shop_perday,sell_to_shop_perday,buy_from_personal_shop_perday,mail_go_perday,mail_come_perday,invite_perday,join_perday,revival_perday,fight_perday
2.0,4.0,72.0,196.0,0.0,6.0,1.0,21.0,7.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.26666666666666666,4.8,13.066666666666665,0.0,0.06666666666666668,1.4,0.4666666666666667,3.866666666666666,0.13333333333333333,0.0
1.0,0.0,34.0,111.0,0.0,1.0,0.0,56.0,16.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,2.4285714285714284,7.928571428571429,0.0,0.0,4.0,1.1428571428571428,2.5,0.0,0.0
12.0,9.0,31.0,338.0,0.0,0.0,2.0,3.0,5.0,46.0,1.0,1.0,4.0,2.0,0.0,0.0,0.8571428571428571,0.6428571428571429,2.2142857142857144,24.142857142857146,0.0,0.14285714285714285,0.21428571428571427,0.35714285714285715,3.2857142857142856,0.07142857142857142,0.07142857142857142
111.0,37.0,11.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,2.466666666666667,0.7333333333333333,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,57.0,68.0,254.0,0.0,0.0,21.0,35.0,85.0,98.0,1.0,25.0,0.0,0.0,0.0,0.0,4.933333333333334,3.8,4.533333333333333,16.933333333333334,0.0,1.4,2.333333333333333,5.666666666666668,6.533333333333332,0.06666666666666668,1.6666666666666667
0.0,0.0,2.0,77.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.4,15.4,0.0,0.2,1.0,1.0,0.2,0.0,0.2
2.0,2.0,199.0,246.0,0.0,0.0,0.0,3.0,16.0,29.0,0.0,1.0,9.0,9.0,0.0,0.0,0.15384615384615385,0.15384615384615385,15.307692307692307,18.923076923076927,0.0,0.0,0.2307692307692308,1.2307692307692308,2.230769230769231,0.0,0.07692307692307693
3.0,3.0,88.0,318.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,1.0,5.0,5.0,0.0,0.0,0.5,0.5,14.666666666666664,53.0,0.0,0.0,0.0,2.0,1.0,0.0,0.16666666666666666
0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
1.0,0.0,121.0,1127.0,0.0,0.0,11.0,15.0,2.0,43.0,3.0,1.0,8.0,2.0,0.0,0.0,0.06666666666666668,0.0,8.066666666666666,75.13333333333334,0.0,0.7333333333333333,1.0,0.13333333333333333,2.8666666666666667,0.2,0.06666666666666668
0.0,0.0,13.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818185,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,71.0,242.0,0.0,0.0,2.0,15.0,1.0,21.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.14285714285714285,5.071428571428571,17.285714285714285,0.0,0.14285714285714285,1.0714285714285714,0.07142857142857142,1.5,0.0,0.07142857142857142
45.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,179.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,6.533333333333332,11.933333333333335,0.0
60.0,22.0,83.0,304.0,1.0,0.0,3.0,32.0,105.0,98.0,10.0,24.0,28.0,15.0,0.0,0.0,4.0,1.4666666666666666,5.533333333333332,20.266666666666666,0.06666666666666668,0.2,2.1333333333333333,7.0,6.533333333333332,0.6666666666666666,1.6
0.0,0.0,55.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,17.0,99.0,134.0,0.0,0.0,5.0,10.0,13.0,8.0,0.0,0.0,24.0,3.0,0.0,0.0,2.625,2.125,12.375,16.75,0.0,0.625,1.25,1.625,1.0,0.0,0.0
307.0,151.0,2.0,5390.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.58333333333333,12.583333333333336,0.16666666666666666,449.16666666666674,0.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.0
12.0,8.0,54.0,156.0,1.0,0.0,1.0,3.0,42.0,46.0,2.0,2.0,61.0,3.0,0.0,0.0,0.8571428571428571,0.5714285714285714,3.8571428571428568,11.142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,3.0,3.2857142857142856,0.14285714285714285,0.14285714285714285
0.0,0.0,21.0,68.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.66666666666667,0.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,14.0,140.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.0,0.0,1.2727272727272727,12.727272727272727,0.0,3.4545454545454546,0.0,0.0
1.0,0.0,17.0,124.0,0.0,0.0,10.0,12.0,31.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909093,0.0,1.5454545454545454,11.272727272727273,0.0,0.9090909090909092,1.0909090909090908,2.8181818181818183,1.9090909090909087,0.2727272727272727,0.0
