,trade_go,buy_from_shop,sell_to_shop,mail_come,invite,join,revival,fight,friend_num,login_count,play_time,max_level,playtime_per_day,abyss,sit_count,exp_get_amout,money_get_count,teleport_count,killed_by_pc,killed_by_npc,reborn_count,login_total_day,sit_count_perday,login_total_day,item_get_count_perday,money_get_count_perday,use_portal_count_perday,teleport_count_perday,total_party_time,sit_count/play_time,killed_by_pc/play_time,killed_by_npc/play_time,total-party_time/play_time,teleport_count/play_time,play_time/login_count,exp_get_amount/play_time,playtime_per_day/login_total_day,max_level/login_count,reborn_count/login_count,sit_count/max_level,play_time/question_count,class
0,2,72,196,21,7,58,2,0,0,259,637926,0,42528.4,0,270,389149580,4686,376,47,30,51,15,18,15,2076.6,312.4,0,25.06666667,8862,9.41E-06,7.37E-05,4.70E-05,0.013891893,0.00058941,2463.034749,610.0230748,2835.226667,0,0.196911197,0,10289.12903,0
1,1,34,111,56,16,35,0,0,0,38,401885,42,28706.07143,0,153,80119427,1596,343,32,75,75,14,10.92857143,14,4398.5,114,0,24.5,69458,2.49E-06,7.96E-05,0.000186621,0.172830536,0.000853478,10575.92105,199.3590878,2050.433674,1.105263158,1.973684211,3.642857143,68.19701341,0
2,12,31,338,3,5,46,1,1,4,43,240334,38,17166.71429,0,378,142485377,1318,337,35,53,69,14,27,14,1763.285714,94.14285714,0,24.07142857,43619,0,0.000145631,0.000220526,0.181493255,0.001402215,5589.162791,592.8640018,1226.193878,0.88372093,1.604651163,9.947368421,2477.670103,0
3,111,11,504,0,0,0,0,0,0,25,1205493,0,80366.2,0,207,1377552887,7979,44,0,12,10,15,13.8,15,7319.666667,531.9333333,0,2.933333333,0,0,0,9.95E-06,0,3.65E-05,48219.72,1142.729893,5357.746667,0,0.4,0,0,0
4,74,68,254,35,85,98,1,25,0,110,457433,0,30495.53333,0,320,395099069,3551,568,311,109,261,15,21.33333333,15,6557.866667,236.7333333,0.066666667,37.86666667,40934,0,0.000679881,0.000238286,0.089486329,0.001241712,4158.481818,863.7310142,2033.035555,0,2.372727273,0,5717.9125,0
5,0,2,77,5,5,1,0,1,26,9,14596,0,2919.2,0,14,18351775,190,16,0,2,2,5,2.8,5,44.6,38,0,3.2,0,0,0,0.000137024,0,0.001096191,1621.777778,1257.31536,583.84,0,0.222222222,0,3649,0
6,2,199,246,3,16,29,0,1,9,50,218017,31,16770.53846,0,249,36652226,1092,178,4,40,38,13,19.15384615,13,2080.769231,84,0,13.69230769,12992,0,1.83E-05,0.000183472,0.059591683,0.00081645,4360.34,168.1163671,1290.04142,0.62,0.76,8.032258065,520.326969,0
7,3,88,318,0,12,6,0,1,5,13,187187,28,31197.83333,0,101,24319101,1293,181,27,31,48,6,16.83333333,6,11504.66667,215.5,0,30.16666667,14878,0,0.000144241,0.00016561,0.079482015,0.000966947,14399,129.9187497,5199.638888,2.153846154,3.692307692,3.607142857,908.6747573,0
8,0,0,5,0,0,1,0,0,1,3,11149,7,3716.333333,0,0,37782,26,4,0,2,4,3,0,3,14.66666667,8.666666667,0,1.333333333,756,0,0,0.000179388,0.067808772,0.000358777,3716.333333,3.38882411,1238.777778,2.333333333,1.333333333,0,2787.25,0
9,1,121,1127,15,2,43,3,1,8,115,630830,37,42055.33333,0,602,263808810,3447,696,252,140,268,15,40.13333333,15,2220.266667,229.8,0.266666667,46.4,11698,0,0.000399474,0.00022193,0.018543823,0.001103308,5485.478261,418.1931899,2803.688889,0.32173913,2.330434783,16.27027027,1714.211957,0
10,0,13,36,0,0,0,0,0,0,1,12094,8,12094,0,0,83766,63,7,0,1,1,1,0,1,377,63,0,7,0,0,0,8.27E-05,0,0.000578799,12094,6.926244419,12094,8,1,0,1007.833333,0
11,2,0,0,0,0,0,0,0,0,19,20567,0,1869.727273,0,0,0,22,3,0,0,0,11,0,11,0,2,0,0.272727273,0,0,0,0,0,0.000145865,1082.473684,0,169.9752066,0,0,0,0,0
12,0,71,242,15,1,21,0,1,4,59,195585,29,13970.35714,0,149,24258735,1145,155,6,31,31,14,10.64285714,14,381.3571429,81.78571429,0,11.07142857,15892,0,3.07E-05,0.000158499,0.081253675,0.000792494,3315,124.0316742,997.8826529,0.491525424,0.525423729,5.137931034,1130.549133,0
13,45,0,0,0,2,98,179,0,0,36,1148470,0,76564.66667,0,499,760109571,13561,356,62,470,388,15,33.26666667,15,86,904.0666667,0,23.73333333,17138,0,5.40E-05,0.00040924,0.014922462,0.000309978,31901.94444,661.8453865,5104.311111,0,10.77777778,0,0,0
14,60,83,304,32,105,98,10,24,28,176,512291,48,34152.73333,0,432,609662121,6775,622,40,138,131,15,28.8,15,5103.933333,451.6666667,0.133333333,41.46666667,76945,0,7.81E-05,0.000269378,0.150197837,0.001214154,2910.744318,1190.069943,2276.848889,0.272727273,0.744318182,9,623.9841657,0
15,0,55,237,0,0,0,0,0,0,15,1096369,50,73091.26667,0,3998,1080547267,51,47,5,7,11,15,266.5333333,15,4960.466667,3.4,0,3.133333333,0,0,4.56E-06,6.38E-06,0,4.29E-05,73091.26667,985.5689708,4872.751111,3.333333333,0.733333333,79.96,1812.180165,0
16,21,99,134,10,13,8,0,0,24,28,128679,39,16084.875,0,62,41390924,269,101,4,29,28,8,7.75,8,5856.125,33.625,0,12.625,18980,0,3.11E-05,0.000225367,0.147498815,0.000784899,4595.678571,321.6602864,2010.609375,1.392857143,1,1.58974359,489.2737643,0
17,307,2,5390,1,0,0,0,0,0,42,946368,0,78864,0,9,11137705,70888,249,0,54,54,12,0.75,12,6915.083333,5907.333333,0,20.75,0,0,0,5.71E-05,0,0.000263111,22532.57143,11.76889434,6572,0,1.285714286,0,0,1
18,12,54,156,3,42,46,2,2,61,251,330904,40,23636,0,241,306293745,2792,404,95,59,101,14,17.21428571,14,6763.142857,199.4285714,0.142857143,28.85714286,16885,0,0.000287092,0.000178299,0.051026884,0.001220898,1318.342629,925.6272061,1688.285714,0.15936255,0.402390438,6.025,7695.44186,0
19,0,21,68,4,0,0,0,0,0,5,16571,12,5523.666667,0,41,563795,166,15,0,3,3,3,13.66666667,3,507.6666667,55.33333333,0,5,0,0,0,0.000181039,0,0.000905196,3314.2,34.02299197,1841.222222,2.4,0.6,3.416666667,236.7285714,0
20,0,5,0,140,0,38,0,0,0,32,143304,0,13027.63636,0,0,164703,127,65,4,0,29,11,0,11,3.454545455,11.54545455,0,5.909090909,0,0,2.79E-05,0,0,0.000453581,4478.25,1.149325909,1184.330578,0,0.90625,0,0,0
21,1,17,124,12,31,21,3,0,0,45,97283,39,8843.909091,0,95,69811716,721,116,7,37,27,11,8.636363636,11,225.7272727,65.54545455,0,10.54545455,12663,0,7.20E-05,0.000380334,0.130166627,0.001192397,2161.844444,717.6147528,803.9917355,0.866666667,0.6,2.435897436,1737.196429,1
22,6,44,104,0,24,34,3,10,11,61,137298,39,17162.25,0,224,55254629,1421,176,1,35,31,8,28,8,1997,177.625,0,22,34995,0,7.28E-06,0.00025492,0.254883538,0.001281883,2250.786885,402.4430727,2145.28125,0.639344262,0.508196721,5.743589744,4038.176471,0
23,3,0,0,0,0,2,0,0,0,56,29606,0,1973.733333,0,0,0,51,8,0,0,0,15,0,15,5653.333333,3.4,0,0.533333333,84,0,0,0,0.002837263,0.000270215,528.6785714,0,131.5822222,0,0,0,0,0
24,0,24,145,8,1,7,0,3,1,5,30499,16,7624.75,0,5,1688862,412,30,0,6,6,4,1.25,4,2815.5,103,0,7.5,1400,0,0,0.000196728,0.045903144,0.000983639,6099.8,55.37434014,1906.1875,3.2,1.2,0.3125,448.5147059,0
25,20,86,221,24,8,69,1,6,34,191,349486,31,23299.06667,0,595,358808938,3979,493,163,43,153,15,39.66666667,15,11228.73333,265.2666667,0,32.86666667,72049,0,0.000466399,0.000123038,0.206157042,0.001410643,1829.769634,1026.676142,1553.271111,0.162303665,0.80104712,19.19354839,619.6560284,0
26,1,13,15,0,1,2,0,1,0,6,11707,11,5853.5,0,2,320509,99,9,0,1,1,2,1,2,2657.5,49.5,0,4.5,0,0,0,8.54E-05,0,0.000768771,1951.166667,27.37755189,2926.75,1.833333333,0.166666667,0.181818182,260.1555556,0
27,14,51,375,0,36,77,12,15,84,53,444172,0,29611.46667,0,295,379809859,3410,379,17,122,104,15,19.66666667,15,198.2,227.3333333,0,25.26666667,86211,0,3.83E-05,0.000274668,0.194093729,0.000853273,8380.603774,855.0963568,1974.097778,0,1.962264151,0,7050.349206,0
28,0,17,562,0,0,0,0,0,0,18,1110169,47,79297.78571,0,1129,479411310,19272,230,193,30,167,14,80.64285714,14,3337.142857,1376.571429,0,16.42857143,0,0,0.000173847,2.70E-05,0,0.000207176,61676.05556,431.836333,5664.127551,2.611111111,9.277777778,24.0212766,370.0563333,0
29,23,47,255,18,65,73,1,51,6,134,371994,40,26571,0,398,314653638,2581,414,30,60,49,14,28.42857143,14,1221.571429,184.3571429,0,29.57142857,31232,0,8.06E-05,0.000161293,0.083958343,0.001112921,2776.074627,845.8567558,1897.928571,0.298507463,0.365671642,9.95,8266.533333,0
30,0,26,293,1,0,0,0,0,0,17,1084347,46,72289.8,0,11137,616150845,6938,343,87,263,304,15,742.4666667,15,2769.866667,462.5333333,0,22.86666667,0,0,8.02E-05,0.000242542,0,0.000316319,63785.11765,568.2229443,4819.32,2.705882353,17.88235294,242.1086957,1084347,0
31,0,1,17,2,0,4,0,0,0,4,20204,0,10102,0,58,6267851,8,12,0,2,1,2,29,2,37,4,0,6,1992,0,0,9.90E-05,0.098594338,0.000593942,5051,310.2282221,5051,0,0.25,0,0,0
32,101,28,343,4,1,0,0,0,0,32,947297,31,72869,0,3808,38352741,129,143,33,26,63,13,292.9230769,13,5472.769231,9.923076923,0,11,8,0,3.48E-05,2.74E-05,8.45E-06,0.000150956,29603.03125,40.48650107,5605.307692,0.96875,1.96875,122.8387097,189459.4,1
33,96,45,118,6,14,9,0,0,2,20,154836,24,15483.6,0,6,10389198,751,134,0,25,24,10,0.6,10,385.8,75.1,0,13.4,29222,0,0,0.000161461,0.188728719,0.000865432,7741.8,67.09807797,1548.36,1.2,1.2,0.25,889.862069,0
34,0,0,23,48,0,17,0,0,9,50,76262,23,8473.555556,0,43,12973754,268,35,1,10,8,9,4.777777778,9,58.77777778,29.77777778,0,3.888888889,0,0,1.31E-05,0.000131127,0,0.000458944,1525.24,170.1208203,941.5061729,0.46,0.16,1.869565217,5866.307692,0
35,31,14,97,5,78,30,5,6,20,18,164903,0,14991.18182,0,318,98185519,2621,424,14,35,116,11,28.90909091,11,2885,238.2727273,0,38.54545455,6122,0,8.49E-05,0.000212246,0.037124855,0.002571209,9161.277778,595.4137826,1362.834711,0,6.444444444,0,4122.575,0
36,18,174,905,26,104,77,5,1,67,178,689146,0,49224.71429,0,428,769943967,5064,624,25,55,46,14,30.57142857,14,4699.285714,361.7142857,0.071428571,44.57142857,36384,0,3.63E-05,7.98E-05,0.052795779,0.000905469,3871.606742,1117.243613,3516.051021,0,0.258426966,0,1580.610092,0
37,1,4,68,4,15,7,2,0,100,8,78748,0,15749.6,0,32,129738309,754,82,4,13,11,5,6.4,5,1221.2,150.8,0,16.4,5533,0,5.08E-05,0.000165084,0.070262102,0.001041296,9843.5,1647.512432,3149.92,0,1.375,0,4632.235294,0
38,4,0,19,0,4,2,0,1,97,4,14586,0,3646.5,0,4,12192578,152,14,0,2,2,4,1,4,20.25,38,0,3.5,0,0,0,0.000137118,0,0.000959824,3646.5,835.9096394,911.625,0,0.5,0,7293,0
39,0,77,449,5,1,3,0,0,0,15,828781,35,69065.08333,0,547,92015865,68,159,84,37,104,12,45.58333333,12,4810.083333,5.666666667,0,13.25,659,0,0.000101354,4.46E-05,0.000795144,0.000191848,55252.06667,111.0255484,5755.423611,2.333333333,6.933333333,15.62857143,2098.179747,0
40,33,48,114,50,65,47,1,24,95,85,221198,43,20108.90909,0,416,228964244,2268,386,127,55,121,11,37.81818182,11,10525.90909,206.1818182,0,35.09090909,13596,0,0.000574146,0.000248646,0.061465294,0.001745043,2602.329412,1035.10992,1828.082645,0.505882353,1.423529412,9.674418605,3949.964286,0
41,12,52,361,8,232,48,20,0,57,103,493728,49,32915.2,0,293,548989167,4586,413,10,135,105,15,19.53333333,15,6190.266667,305.7333333,0,27.53333333,65712,0,2.03E-05,0.00027343,0.133093525,0.000836493,4793.475728,1111.926338,2194.346667,0.475728155,1.019417476,5.979591837,4448,0
42,100,50,228,70,174,82,2,58,63,290,522497,37,34833.13333,356,421,312090317,3012,578,163,104,165,15,28.06666667,15,9149.8,200.8,0.2,38.53333333,72890,0,0.000311964,0.000199044,0.139503193,0.001106226,1801.713793,597.3054716,2322.208889,0.127586207,0.568965517,11.37837838,7359.112676,0
43,1,39,141,13,14,28,0,0,5,75,139876,36,10759.69231,0,154,89247279,1472,272,38,42,53,13,11.84615385,13,3923.153846,113.2307692,0,20.92307692,8948,0,0.000271669,0.000300266,0.063970946,0.001944579,1865.013333,638.0456905,827.6686392,0.48,0.706666667,4.277777778,1726.864198,0
44,12,26,68,0,0,4,0,1,0,2,24075,14,12037.5,0,31,860846,240,19,0,0,0,2,15.5,2,626.5,120,0,9.5,0,0,0,0,0,0.0007892,12037.5,35.7568432,6018.75,7,0,2.214285714,408.0508475,0
45,19,54,201,1,11,73,4,15,70,36,242071,50,22006.45455,0,241,272978709,2174,314,36,35,49,11,21.90909091,11,2097.363636,197.6363636,0.090909091,28.54545455,46440,0,0.000148717,0.000144586,0.191844541,0.00129714,6724.194444,1127.680346,2000.586777,1.388888889,1.361111111,4.82,1571.88961,0
46,1,8,194,0,0,0,0,0,0,14,1055422,0,81186.30769,0,1333,989112822,6692,141,0,78,63,13,102.5384615,13,6487.923077,514.7692308,0,10.84615385,0,0,0,7.39E-05,0,0.000133596,75387.28571,937.1728294,6245.100592,0,4.5,0,1055422,0
47,235,14,4,22,0,0,0,0,0,47,63901,0,4564.357143,0,0,3000,90,46,0,0,0,14,0,14,7069.428571,6.428571429,0,3.285714286,0,0,0,0,0,0.000719864,1359.595745,0.046947622,326.0255102,0,0,0,31950.5,0
48,1,23,89,3,6,1,0,1,4,9,54623,16,6827.875,0,40,1264759,303,34,0,6,7,8,5,8,126.375,37.875,0,4.25,2009,0,0,0.000109844,0.036779379,0.000622448,6069.222222,23.15433059,853.484375,1.777777778,0.777777778,2.5,691.4303797,0
49,25,1807,166,14,15,75,0,0,0,214,358621,25,35862.1,0,17,28195828,212,58,12,6,20,10,1.7,10,11830.4,21.2,0.4,5.8,3397,2.79E-06,3.35E-05,1.67E-05,0.009472396,0.000161731,1675.799065,78.62291388,3586.21,0.11682243,0.093457944,0.68,399.3552339,1
50,8,51,242,1,7,7,0,0,1,20,90687,22,10076.33333,0,103,13367582,936,72,15,17,27,9,11.44444444,9,1453.222222,104,0,8,3488,0,0.000165404,0.000187458,0.038461963,0.00079394,4534.35,147.4035088,1119.592592,1.1,1.35,4.681818182,1209.16,0
51,9,26,31,4,63,45,0,18,18,62,264077,39,17605.13333,0,482,67373238,628,424,119,165,235,15,32.13333333,15,46.6,41.86666667,1.066666667,28.26666667,73125,0,0.000450626,0.000624818,0.276907872,0.001605592,4259.306452,255.127247,1173.675555,0.629032258,3.790322581,12.35897436,3772.528571,0
52,25,43,153,64,50,17,0,1,15,59,179527,37,19947.44444,0,66,68274662,393,241,29,41,53,9,7.333333333,9,769.8888889,43.66666667,0.111111111,26.77777778,20904,0,0.000161536,0.000228378,0.11643931,0.001342416,3042.830508,380.3030296,2216.382716,0.627118644,0.898305085,1.783783784,4378.707317,0
53,6,36,211,0,4,15,0,1,10,15,102569,23,34189.66667,0,227,8703857,799,72,0,22,21,3,75.66666667,3,1773.666667,266.3333333,0,24,31645,0,0,0.00021449,0.308524018,0.000701966,6837.933333,84.85855375,11396.55556,1.533333333,1.4,9.869565217,861.9243697,0
54,3,96,415,3,12,36,3,2,4,43,546486,0,36432.4,0,493,576437222,5406,828,255,115,233,15,32.86666667,15,20354.6,360.4,0,55.2,9548,0,0.000466618,0.000210435,0.017471628,0.001515135,12708.97674,1054.806934,2428.826667,0,5.418604651,0,836.8851455,0
55,0,8,32,0,7,4,0,0,0,5,26657,0,8885.666667,0,16,59477271,537,35,11,9,13,3,5.333333333,3,10933.33333,179,0,11.66666667,0,3.75E-05,0.00041265,0.000337622,0,0.001312976,5331.4,2231.206475,2961.888889,0,2.6,0,4442.833333,0
56,3,75,204,12,5,44,2,0,62,103,308701,0,22050.07143,0,345,394518044,4678,377,152,32,111,14,24.64285714,14,512.3571429,334.1428571,0,26.92857143,4295,0,0.000492386,0.00010366,0.013913139,0.001221246,2997.097087,1277.994059,1575.005102,0,1.077669903,0,808.117801,0
57,1,37,324,17,78,82,1,18,12,41,373738,37,26695.57143,0,528,118055081,774,405,36,109,98,14,37.71428571,14,1067.214286,55.28571429,0.357142857,28.92857143,46372,0,9.63E-05,0.000291648,0.124076225,0.001083647,9115.560976,315.8765793,1906.826531,0.902439024,2.390243902,14.27027027,4062.369565,0
58,0,5,12,1,0,2,0,0,0,11,57095,0,11419,0,9,14301740,34,26,16,1,15,5,1.8,5,48,6.8,0,5.2,359,0,0.000280235,1.75E-05,0.006287766,0.000455381,5190.454545,250.4902356,2283.8,0,1.363636364,0,7136.875,0
59,1,18,104,23,2,11,0,2,1,77,73288,36,5637.538462,0,104,21637752,54,82,14,12,21,13,8,13,876,4.153846154,0.461538462,6.307692308,23,0,0.000191027,0.000163738,0.00031383,0.001118873,951.7922078,295.2427683,433.6568048,0.467532468,0.272727273,2.888888889,10469.71429,0
60,0,39,107,2,0,2,0,0,0,80,91345,30,7612.083333,0,132,23809250,353,207,7,4,105,12,11,12,246.9166667,29.41666667,0,17.25,0,0,7.66E-05,4.38E-05,0,0.002266134,1141.8125,260.651924,634.3402777,0.375,1.3125,4.4,519.0056818,0
61,0,13,133,2,3,4,0,0,0,9,111835,25,15976.42857,0,214,10064894,292,35,0,8,7,7,30.57142857,7,375.7142857,41.71428571,0,5,4595,0,0,7.15E-05,0.041087316,0.000312961,12426.11111,89.99771091,2282.346939,2.777777778,0.777777778,8.56,5325.47619,1
62,0,0,0,0,0,0,0,0,0,1,11238,0,11238,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11238,0,11238,0,0,0,0,0
63,4,13,102,8,7,12,1,1,0,70,103424,43,14774.85714,0,164,165578340,699,122,33,10,31,7,23.42857143,7,3663.142857,99.85714286,0,17.42857143,8742,0,0.000319075,9.67E-05,0.084525835,0.00117961,1477.485714,1600.966313,2110.693877,0.614285714,0.442857143,3.813953488,1436.444444,0
64,0,4,56,20,0,0,0,0,0,7,26044,0,6511,0,8,23533252,114,9,0,0,0,4,2,4,613.5,28.5,0,2.25,0,0,0,0,0,0.000345569,3720.571429,903.5959146,1627.75,0,0,0,456.9122807,0
65,6,51,221,0,0,3,0,0,1,8,82786,13,13797.66667,0,165,1643099,531,133,0,63,61,6,27.5,6,360.8333333,88.5,0,22.16666667,6461,0,0,0.000760998,0.078044597,0.001606552,10348.25,19.84754669,2299.611112,1.625,7.625,12.69230769,449.923913,0
66,0,0,0,1,0,1,0,0,2,3,11061,7,5530.5,0,59,82842,91,12,0,12,11,2,29.5,2,91.5,45.5,0,6,758,0,0,0.001084893,0.068529066,0.001084893,3687,7.489557906,2765.25,2.333333333,3.666666667,8.428571429,650.6470588,0
67,24,5,298,1,0,0,0,0,0,15,960198,0,64013.2,0,7,1263306060,32,42,0,10,8,15,0.466666667,15,5231.266667,2.133333333,0,2.8,0,0,0,1.04E-05,0,4.37E-05,64013.2,1315.672455,4267.546667,0,0.533333333,0,0,0
68,2,0,6,0,1,1,0,0,0,3,13302,21,4434,0,47,1585982,75,9,0,0,0,3,15.66666667,3,40.33333333,25,0,3,0,0,0,0,0,0.00067659,4434,119.2288378,1478,7,0,2.238095238,6651,0
69,2,11,67,0,0,3,0,4,0,7,31988,26,7997,0,28,6948618,150,35,2,10,11,4,7,4,119,37.5,0,8.75,1308,0,6.25E-05,0.000312617,0.040890334,0.00109416,4569.714286,217.2257722,1999.25,3.714285714,1.571428571,1.076923077,2284.857143,0
70,13,187,527,95,59,97,1,5,0,311,562309,29,37487.26667,0,274,543124970,9156,771,80,38,174,15,18.26666667,15,8907.866667,610.4,0,51.4,35121,0,0.000142271,6.76E-05,0.062458541,0.001371132,1808.067524,965.8834733,2499.151111,0.093247588,0.559485531,9.448275862,905.489533,0
71,5,19,111,2,36,24,1,4,0,18,122353,49,15294.125,0,37,159568767,1508,110,10,31,30,8,4.625,8,8864.5,188.5,0,13.75,918,0,8.17E-05,0.000253365,0.007502881,0.000899038,6797.388889,1304.16718,1911.765625,2.722222222,1.666666667,0.755102041,8156.866667,0
72,45,101,637,18,42,104,2,17,32,234,795390,39,53026,377,275,608079660,6496,792,146,74,135,15,18.33333333,15,21529.13333,433.0666667,0.133333333,52.8,114901,1.13E-05,0.000183558,9.30E-05,0.144458693,0.000995738,3399.102564,764.5050353,3535.066667,0.166666667,0.576923077,7.051282051,1190.703593,0
73,8,38,315,24,3,51,2,1,33,96,278178,0,18545.2,0,311,387753995,5103,349,91,15,67,15,20.73333333,15,502.5333333,340.2,0.2,23.26666667,56308,0,0.000327129,5.39E-05,0.202417157,0.001254592,2897.6875,1393.906042,1236.346667,0,0.697916667,0,924.179402,0
74,3,214,373,4,1,29,3,1,1,72,367565,15,36756.5,0,394,319814839,1070,380,0,55,39,10,39.4,10,12372.7,107,0,38,15334,0,0,0.000149633,0.041717791,0.001033831,5105.069444,870.0905663,3675.65,0.208333333,0.541666667,26.26666667,712.3352713,0
75,0,3,47,6,3,2,0,1,12,9,25599,0,12799.5,0,28,25882005,154,39,9,3,9,2,14,2,958,77,0,19.5,0,0,0.000351576,0.000117192,0,0.001523497,2844.333333,1011.055315,6399.75,0,1,0,25599,0
76,63,90,196,436,43,27,0,0,21,104,416544,13,27769.6,0,49,158365313,2078,416,35,22,53,15,3.266666667,15,8236.4,138.5333333,0,27.73333333,1225,0,8.40E-05,5.28E-05,0.002940866,0.000998694,4005.230769,380.1886787,1851.306667,0.125,0.509615385,3.769230769,733.3521127,0
77,122,83,328,138,79,127,7,26,91,230,725413,34,51815.21429,302,428,818986357,8345,941,169,124,189,14,30.57142857,14,22205,596.0714286,0.071428571,67.21428571,96613,1.38E-06,0.000232971,0.000170937,0.133183442,0.001297192,3153.969565,1128.993218,3701.086735,0.147826087,0.82173913,12.58823529,3609.0199,0
78,0,7,34,2,0,4,0,0,0,12,36761,26,18380.5,0,46,6118788,213,34,1,17,17,2,23,2,422.5,106.5,0,17,0,0,2.72E-05,0.000462447,0,0.000924893,3063.416667,166.4478115,9190.25,2.166666667,1.416666667,1.769230769,3063.416667,0
79,0,8,61,1,2,6,3,0,4,11,49628,42,24814,0,27,60930913,570,59,4,16,17,2,13.5,2,15383,285,0,29.5,0,0,8.06E-05,0.000322399,0,0.001188845,4511.636364,1227.75274,12407,3.818181818,1.545454545,0.642857143,1550.875,0
