actor_account,trade_go,trade_come,sell_to_shop,sell_to_person,mail_go,mail_come,invite,join,fight,friend_num,friend_num_change_count,login_total_day,trade_go_perday,buy_from_shop_perday,sell_to_shop_perday,mail_come_perday,invite_perday,join_perday,fight_perday
20000005,2,4,196,6,1,21,7,58,0,0,0,15,0.133333333,4.8,13.06666667,1.4,0.466666667,3.866666667,0
20000016,1,0,111,1,0,56,16,35,0,0,0,14,0.071428571,2.428571429,7.928571429,4,1.142857143,2.5,0
20000033,12,9,338,0,2,3,5,46,1,4,2,14,0.857142857,2.214285714,24.14285714,0.214285714,0.357142857,3.285714286,0.071428571
20000035,111,37,504,0,0,0,0,0,0,0,0,15,7.4,0.733333333,33.6,0,0,0,0
20000051,74,57,254,0,21,35,85,98,25,0,0,15,4.933333333,4.533333333,16.93333333,2.333333333,5.666666667,6.533333333,1.666666667
20000064,0,0,77,0,1,5,5,1,1,26,1,5,0,0.4,15.4,1,1,0.2,0.2
20000071,2,2,246,0,0,3,16,29,1,9,9,13,0.153846154,15.30769231,18.92307692,0.230769231,1.230769231,2.230769231,0.076923077
20000085,3,3,318,0,0,0,12,6,1,5,5,6,0.5,14.66666667,53,0,2,1,0.166666667
20000087,0,1,5,0,0,0,0,1,0,1,1,3,0,0,1.666666667,0,0,0.333333333,0
20000088,1,0,1127,0,11,15,2,43,1,8,2,15,0.066666667,8.066666667,75.13333333,1,0.133333333,2.866666667,0.066666667
20000105,0,0,36,0,0,0,0,0,0,0,0,1,0,13,36,0,0,0,0
20000108,2,3,0,0,0,0,0,0,0,0,0,11,0.181818182,0,0,0,0,0,0
20000111,0,2,242,0,2,15,1,21,1,4,3,14,0,5.071428571,17.28571429,1.071428571,0.071428571,1.5,0.071428571
20000117,45,33,0,0,0,0,2,98,0,0,0,15,3,0,0,0,0.133333333,6.533333333,0
20000124,60,22,304,0,3,32,105,98,24,28,15,15,4,5.533333333,20.26666667,2.133333333,7,6.533333333,1.6
20000135,0,0,237,0,0,0,0,0,0,0,0,15,0,3.666666667,15.8,0,0,0,0
20000154,21,17,134,0,5,10,13,8,0,24,3,8,2.625,12.375,16.75,1.25,1.625,1,0
20000196,307,151,5390,0,3,1,0,0,0,0,0,12,25.58333333,0.166666667,449.1666667,0.083333333,0,0,0
20000206,12,8,156,0,1,3,42,46,2,61,3,14,0.857142857,3.857142857,11.14285714,0.214285714,3,3.285714286,0.142857143
20000208,0,0,68,0,2,4,0,0,0,0,0,3,0,7,22.66666667,1.333333333,0,0,0
20000215,0,0,0,0,14,140,0,38,0,0,0,11,0,0.454545455,0,12.72727273,0,3.454545455,0
20000222,1,0,124,0,10,12,31,21,0,0,0,11,0.090909091,1.545454545,11.27272727,1.090909091,2.818181818,1.909090909,0
20000278,6,6,104,0,0,0,24,34,10,11,3,8,0.75,5.5,13,0,3,4.25,1.25
20000279,3,26,0,0,0,0,0,2,0,0,0,15,0.2,0,0,0,0,0.133333333,0
20000290,0,13,145,0,0,8,1,7,3,1,1,4,0,6,36.25,2,0.25,1.75,0.75
20000316,20,22,221,0,4,24,8,69,6,34,1,15,1.333333333,5.733333333,14.73333333,1.6,0.533333333,4.6,0.4
20000328,1,0,15,0,0,0,1,2,1,0,0,2,0.5,6.5,7.5,0,0.5,1,0.5
20000343,14,8,375,0,0,0,36,77,15,84,17,15,0.933333333,3.4,25,0,2.4,5.133333333,1
20000350,0,37,562,0,1,0,0,0,0,0,0,14,0,1.214285714,40.14285714,0,0,0,0
20000387,23,11,255,0,4,18,65,73,51,6,4,14,1.642857143,3.357142857,18.21428571,1.285714286,4.642857143,5.214285714,3.642857143
20000405,0,1,293,0,0,1,0,0,0,0,0,15,0,1.733333333,19.53333333,0.066666667,0,0,0
20000412,0,0,17,0,0,2,0,4,0,0,0,2,0,0.5,8.5,1,0,2,0
20000427,101,37,343,0,21,4,1,0,0,0,0,13,7.769230769,2.153846154,26.38461538,0.307692308,0.076923077,0,0
20000439,96,32,118,0,28,6,14,9,0,2,2,10,9.6,4.5,11.8,0.6,1.4,0.9,0
