login_count,play_time,max_level,playtime_per_day,abyss,sit_count,exp_get_amout,money_get_count,teleport_count,killed_by_pc,killed_by_npc,reborn_count,login_total_day,sit_count_perday,login_total_day,item_get_count_perday,money_get_count_perday,use_portal_count_perday,teleport_count_perday,total_party_time,sit_count/play_time,killed_by_pc/play_time,killed_by_npc/play_time,total-party_time/play_time,teleport_count/play_time,play_time/login_count,exp_get_amount/play_time,playtime_per_day/login_total_day,max_level/login_count,reborn_count/login_count,sit_count/max_level,play_time/question_count,class,actor_account
259,637926,0,42528.4,0,270,389149580,4686,376,47,30,51,15,18,15,2076.6,312.4,0,25.06666667,8862,0.000423247,7.37E-05,4.70E-05,0.013891893,0.00058941,2463.034749,610.0230748,2835.226667,0,0.196911197,0,10289.12903,0,20000005
38,401885,42,28706.07143,0,153,80119427,1596,343,32,75,75,14,10.92857143,14,4398.5,114,0,24.5,69458,0.000380706,7.96E-05,0.000186621,0.172830536,0.000853478,10575.92105,199.3590878,2050.433674,1.105263158,1.973684211,3.642857143,68.19701341,0,20000016
43,240334,38,17166.71429,0,378,142485377,1318,337,35,53,69,14,27,14,1763.285714,94.14285714,0,24.07142857,43619,0.001572811,0.000145631,0.000220526,0.181493255,0.001402215,5589.162791,592.8640018,1226.193878,0.88372093,1.604651163,9.947368421,2477.670103,0,20000033
25,1205493,0,80366.2,0,207,1377552887,7979,44,0,12,10,15,13.8,15,7319.666667,531.9333333,0,2.933333333,0,0.000171714,0,9.95E-06,0,3.65E-05,48219.72,1142.729893,5357.746667,0,0.4,0,0,0,20000035
110,457433,0,30495.53333,0,320,395099069,3551,568,311,109,261,15,21.33333333,15,6557.866667,236.7333333,0.066666667,37.86666667,40934,0.000699556,0.000679881,0.000238286,0.089486329,0.001241712,4158.481818,863.7310142,2033.035555,0,2.372727273,0,5717.9125,0,20000051
9,14596,0,2919.2,0,14,18351775,190,16,0,2,2,5,2.8,5,44.6,38,0,3.2,0,0.000959167,0,0.000137024,0,0.001096191,1621.777778,1257.31536,583.84,0,0.222222222,0,3649,0,20000064
50,218017,31,16770.53846,0,249,36652226,1092,178,4,40,38,13,19.15384615,13,2080.769231,84,0,13.69230769,12992,0.001142113,1.83E-05,0.000183472,0.059591683,0.00081645,4360.34,168.1163671,1290.04142,0.62,0.76,8.032258065,520.326969,0,20000071
13,187187,28,31197.83333,0,101,24319101,1293,181,27,31,48,6,16.83333333,6,11504.66667,215.5,0,30.16666667,14878,0.000539567,0.000144241,0.00016561,0.079482015,0.000966947,14399,129.9187497,5199.638888,2.153846154,3.692307692,3.607142857,908.6747573,0,20000085
3,11149,7,3716.333333,0,0,37782,26,4,0,2,4,3,0,3,14.66666667,8.666666667,0,1.333333333,756,0,0,0.000179388,0.067808772,0.000358777,3716.333333,3.38882411,1238.777778,2.333333333,1.333333333,0,2787.25,0,20000087
115,630830,37,42055.33333,0,602,263808810,3447,696,252,140,268,15,40.13333333,15,2220.266667,229.8,0.266666667,46.4,11698,0.000954298,0.000399474,0.00022193,0.018543823,0.001103308,5485.478261,418.1931899,2803.688889,0.32173913,2.330434783,16.27027027,1714.211957,0,20000088
