actor_account,class
20000000,0
20000005,0
20000011,1
20000016,0
20000025,0
20000029,0
20000033,0
20000035,0
20000041,0
20000042,1
20000051,0
20000054,0
20000061,0
20000063,0
20000064,0
20000071,0
20000072,1
20000079,0
20000085,0
20000087,0
20000088,0
20000090,0
20000092,0
20000105,0
20000107,0
20000108,0
20000111,0
20000112,0
20000113,0
20000117,0
20000124,0
20000130,0
20000131,0
20000135,0
20000154,0
20000157,0
20000177,0
20000184,0
20000196,1
20000203,0
20000206,0
20000207,0
20000208,0
20000209,0
20000215,0
20000217,0
20000222,1
20000239,0
20000249,0
20000252,0
20000257,0
20000270,0
20000278,0
20000279,0
20000290,0
20000297,0
20000308,0
20000311,0
20000316,0
20000328,0
20000343,0
20000350,0
20000361,0
20000366,0
20000367,0
20000387,0
20000393,0
20000404,1
20000405,0
20000412,0
20000415,0
20000422,0
20000427,1
20000435,0
20000436,1
20000439,0
20000454,0
20000456,0
20000457,0
20000466,1
20000470,0
20000478,0
20000479,1
20000482,0
20000491,0
20000508,0
20000510,0
20000512,0
20000513,0
20000518,0
20000529,1
20000544,0
20000550,0
20000552,0
20000558,0
20000559,0
20000581,0
20000584,0
20000585,0
20000601,0
20000641,0
20000644,0
20000646,0
20000649,0
20000650,1
20000654,0
20000657,0
20000689,0
20000690,0
20000692,0
20000705,0
20000706,0
20000707,0
20000719,0
20000726,0
20000727,0
20000731,0
20000741,0
20000744,0
20000751,0
20000761,0
20000765,1
20000766,1
20000776,0
20000799,0
20000814,0
20000816,0
20000817,0
20000827,0
20000833,0
20000837,0
20000841,0
20000843,0
20000850,0
20000860,0
20000865,0
20000868,0
20000871,0
20000880,0
20000892,0
20000909,0
20000922,0
20000934,0
20000945,0
20000949,0
20000959,0
20000960,0
20000968,0
20000971,0
20000974,0
20000983,0
20000988,0
20000994,0
20000998,0
20001012,0
20001013,0
20001025,0
20001026,0
20001032,0
20001033,0
20001035,0
20001042,0
20001050,0
20001056,0
20001066,0
20001088,0
20001098,0
20001111,0
20001112,0
20001113,0
20001116,0
20001126,0
20001127,0
20001129,0
20001132,0
20001135,0
20001144,0
20001167,0
20001175,0
20001194,0
20001201,0
20001208,0
20001222,1
20001225,1
20001231,0
20001232,0
20001239,0
20001251,0
20001253,0
20001256,0
20001264,0
20001272,0
20001276,0
20001278,1
20001279,0
20001280,0
20001292,0
20001300,0
20001316,0
20001320,0
20001322,0
20001335,0
20001343,0
20001354,0
20001359,0
20001361,0
20001379,1
20001380,0
20001383,0
20001387,1
20001389,0
20001390,0
20001393,0
20001405,0
20001412,0
20001421,0
20001442,0
20001444,0
20001458,0
20001460,0
20001461,0
20001468,0
20001472,0
20001475,0
20001477,0
20001480,0
20001496,0
20001498,0
20001518,0
20001531,0
20001540,0
20001554,0
20001562,0
20001568,0
20001570,0
20001573,0
20001580,0
20001582,0
20001590,0
20001597,0
20001598,0
20001605,0
20001607,0
20001623,0
20001628,0
20001638,0
20001643,0
20001653,0
20001660,0
20001667,1
20001677,0
20001680,0
20001684,0
20001688,0
20001703,0
20001713,1
20001725,0
20001726,0
20001745,0
20001760,0
20001765,0
20001780,0
20001781,1
20001792,0
20001794,0
20001808,0
20001809,0
20001815,1
20001816,0
20001820,1
20001842,0
20001843,0
20001847,0
20001849,1
20001856,0
20001865,0
20001871,0
20001884,0
20001885,0
20001888,0
20001890,0
20001915,0
20001922,0
20001923,0
20001924,0
20001926,0
20001939,0
20001950,0
20001958,0
20001963,0
20001965,0
20001968,0
20001972,0
20001974,0
20001978,0
20001979,0
20001982,0
20001984,0
20001992,0
20001995,0
20001996,0
20001998,0
20002012,0
20002025,0
20002032,0
20002035,0
20002039,0
20002049,0
20002050,0
20002052,0
20002053,0
20002065,0
20002069,0
20002092,0
20002096,0
20002103,0
20002104,0
20002114,0
20002119,0
20002122,0
20002130,0
20002132,0
20002139,0
20002143,0
20002149,0
20002155,0
20002172,0
20002193,0
20002194,0
20002210,0
20002220,0
20002221,0
20002223,0
20002224,0
20002226,0
20002244,0
20002246,1
20002251,0
20002255,1
20002263,0
20002272,0
20002280,0
20002282,0
20002292,0
20002294,0
20002297,0
20002301,0
20002320,0
20002321,0
20002322,0
20002328,0
20002330,0
20002336,0
20002338,0
20002362,0
20002367,0
20002368,0
20002383,0
20002386,0
20002394,0
20002400,1
20002402,1
20002409,0
20002414,0
20002420,0
20002421,1
20002428,0
20002440,0
20002441,0
20002444,1
20002454,0
20002464,0
20002480,0
20002496,0
20002503,0
20002504,0
20002508,1
20002511,0
20002513,0
20002517,0
20002527,0
20002531,0
20002532,0
20002541,0
20002542,0
20002545,0
20002559,0
20002560,0
20002563,1
20002566,0
20002570,0
20002573,0
20002586,0
20002588,0
20002591,0
20002592,0
20002597,0
20002604,0
20002605,0
20002624,0
20002640,0
20002648,0
20002651,0
20002660,0
20002669,0
20002673,0
20002675,0
20002681,0
20002698,0
20002701,0
20002706,0
20002708,0
20002715,0
20002723,0
20002724,0
20002727,0
20002730,0
20002737,1
20002738,0
20002748,0
