,actor_account,trade_go,trade_come,buy_from_shop,sell_to_shop,buy_from_personal_shop,sell_to_person,mail_go,mail_come,invite,join,revival,fight,friend_num,friend_num_change_count,login_total_day,trade_go_perday,trade_come_perday,buy_from_shop_perday,sell_to_shop_perday,buy_from_personal_shop_perday,mail_go_perday,mail_come_perday,invite_perday,join_perday,revival_perday,fight_perday
0,20000000,7.0,25.0,34.0,229.0,0.0,0.0,11.0,12.0,3.0,48.0,2.0,6.0,0.0,0.0,9.0,0.7777777777777778,2.7777777777777777,3.7777777777777777,25.444444444444443,0.0,1.2222222222222223,1.3333333333333333,0.3333333333333333,5.333333333333333,0.2222222222222222,0.6666666666666666
1,20000005,2.0,4.0,72.0,196.0,0.0,6.0,1.0,21.0,7.0,58.0,2.0,0.0,0.0,0.0,15.0,0.13333333333333333,0.26666666666666666,4.8,13.066666666666666,0.0,0.06666666666666667,1.4,0.4666666666666667,3.8666666666666667,0.13333333333333333,0.0
2,20000011,1.0,50.0,25.0,89.0,0.0,0.0,34.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.16666666666666666,8.333333333333334,4.166666666666667,14.833333333333334,0.0,5.666666666666667,2.6666666666666665,0.0,0.0,0.0,0.0
3,20000016,1.0,0.0,34.0,111.0,0.0,1.0,0.0,56.0,16.0,35.0,0.0,0.0,0.0,0.0,14.0,0.07142857142857142,0.0,2.4285714285714284,7.928571428571429,0.0,0.0,4.0,1.1428571428571428,2.5,0.0,0.0
4,20000025,4.0,17.0,48.0,169.0,0.0,0.0,3.0,6.0,31.0,67.0,2.0,4.0,11.0,2.0,15.0,0.26666666666666666,1.1333333333333333,3.2,11.266666666666667,0.0,0.2,0.4,2.066666666666667,4.466666666666667,0.13333333333333333,0.26666666666666666
5,20000029,6.0,5.0,421.0,284.0,0.0,0.0,14.0,120.0,58.0,89.0,0.0,6.0,37.0,5.0,15.0,0.4,0.3333333333333333,28.066666666666666,18.933333333333334,0.0,0.9333333333333333,8.0,3.8666666666666667,5.933333333333334,0.0,0.4
6,20000033,12.0,9.0,31.0,338.0,0.0,0.0,2.0,3.0,5.0,46.0,1.0,1.0,4.0,2.0,14.0,0.8571428571428571,0.6428571428571429,2.2142857142857144,24.142857142857142,0.0,0.14285714285714285,0.21428571428571427,0.35714285714285715,3.2857142857142856,0.07142857142857142,0.07142857142857142
7,20000035,111.0,37.0,11.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.4,2.466666666666667,0.7333333333333333,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20000041,2.0,0.0,21.0,156.0,0.0,0.0,0.0,1.0,9.0,60.0,3.0,2.0,16.0,7.0,15.0,0.13333333333333333,0.0,1.4,10.4,0.0,0.0,0.06666666666666667,0.6,4.0,0.2,0.13333333333333333
9,20000042,9.0,5.0,59.0,272.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.6666666666666667,19.666666666666668,90.66666666666667,0.0,1.3333333333333333,6.333333333333333,0.0,0.0,0.0,0.0
10,20000051,74.0,57.0,68.0,254.0,0.0,0.0,21.0,35.0,85.0,98.0,1.0,25.0,0.0,0.0,15.0,4.933333333333334,3.8,4.533333333333333,16.933333333333334,0.0,1.4,2.3333333333333335,5.666666666666667,6.533333333333333,0.06666666666666667,1.6666666666666667
11,20000054,24.0,15.0,42.0,114.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,1.0,1.0,5.0,4.8,3.0,8.4,22.8,0.0,0.0,0.0,1.6,2.6,0.0,0.0
12,20000061,2.0,2.0,0.0,589.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.13333333333333333,0.13333333333333333,0.0,39.266666666666666,0.0,1.2,0.0,0.0,0.0,0.0,0.0
13,20000063,7.0,24.0,44.0,826.0,0.0,4.0,1.0,13.0,66.0,44.0,3.0,14.0,11.0,2.0,15.0,0.4666666666666667,1.6,2.933333333333333,55.06666666666667,0.0,0.06666666666666667,0.8666666666666667,4.4,2.933333333333333,0.2,0.9333333333333333
14,20000071,2.0,2.0,199.0,246.0,0.0,0.0,0.0,3.0,16.0,29.0,0.0,1.0,9.0,9.0,13.0,0.15384615384615385,0.15384615384615385,15.307692307692308,18.923076923076923,0.0,0.0,0.23076923076923078,1.2307692307692308,2.230769230769231,0.0,0.07692307692307693
15,20000072,22.0,9.0,33.0,253.0,0.0,0.0,0.0,3.0,72.0,54.0,0.0,39.0,31.0,11.0,10.0,2.2,0.9,3.3,25.3,0.0,0.0,0.3,7.2,5.4,0.0,3.9
16,20000079,6.0,0.0,4.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,6.0,0.0,4.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,20000085,3.0,3.0,88.0,318.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,1.0,5.0,5.0,6.0,0.5,0.5,14.666666666666666,53.0,0.0,0.0,0.0,2.0,1.0,0.0,0.16666666666666666
18,20000088,1.0,0.0,121.0,1127.0,0.0,0.0,11.0,15.0,2.0,43.0,3.0,1.0,8.0,2.0,15.0,0.06666666666666667,0.0,8.066666666666666,75.13333333333334,0.0,0.7333333333333333,1.0,0.13333333333333333,2.8666666666666667,0.2,0.06666666666666667
19,20000090,57.0,25.0,50.0,276.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.333333333333333,2.7777777777777777,5.555555555555555,30.666666666666668,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
20,20000096,21.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,10.5,10.0,0.0,3.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0
21,20000107,2.0,1.0,21.0,54.0,0.0,0.0,1.0,5.0,7.0,16.0,1.0,0.0,30.0,1.0,8.0,0.25,0.125,2.625,6.75,0.0,0.125,0.625,0.875,2.0,0.125,0.0
