actor_account,sit_count,exp_get_amout,item_get_count,exp_repair_count,money_get_count,abyss,use_portal_count,killed_by_pc,killed_by_npc,teleport_count,reborn_count,question_count,login_total_day,sit_count_perday,item_get_count_perday,exp_repair_count_perday,money_get_count_perday,use_portal_count_perday,teleport_count_perday
20000000,489,77894680,2712,0,499,0,0,11,83,194,72,86,9,54.33333333,301.3333333,0,55.44444444,0,21.55555556
20000005,270,389149580,31149,0,4686,0,0,47,30,376,51,62,15,18,2076.6,0,312.4,0,25.06666667
20000011,66,7602992,31446,0,281,0,0,5,14,57,18,6,6,11,5241,0,46.83333333,0,9.5
20000016,153,80119427,61579,0,1596,0,0,32,75,343,75,5893,14,10.92857143,4398.5,0,114,0,24.5
20000025,552,322403224,29319,0,2415,0,8,214,111,776,241,131,15,36.8,1954.6,0,161,0.533333333,51.73333333
20000029,740,529054949,96343,0,5754,0,0,572,101,1023,432,717,15,49.33333333,6422.866667,0,383.6,0,68.2
20000033,378,142485377,24686,0,1318,0,0,35,53,337,69,97,14,27,1763.285714,0,94.14285714,0,24.07142857
20000035,207,1377552887,109795,0,7979,0,0,0,12,44,10,0,15,13.8,7319.666667,0,531.9333333,0,2.933333333
20000041,406,189000014,4839,0,2571,0,0,11,38,256,44,55,15,27.06666667,322.6,0,171.4,0,17.06666667
20000042,1385,30190361,14565,0,938,0,0,6,14,52,20,6,3,461.6666667,4855,0,312.6666667,0,17.33333333
20000051,320,395099069,98368,0,3551,0,1,311,109,568,261,80,15,21.33333333,6557.866667,0,236.7333333,0.066666667,37.86666667
20000054,85,3969282,4075,0,440,0,0,0,22,81,19,102,5,17,815,0,88,0,16.2
20000061,4907,1569662439,90800,0,42101,0,0,0,12,70,9,0,15,327.1333333,6053.333333,0,2806.733333,0,4.666666667
20000063,181,576450536,15139,0,2652,0,9,77,81,642,130,284,15,12.06666667,1009.266667,0,176.8,0.6,42.8
20000064,14,18351775,223,0,190,0,0,0,2,16,2,4,5,2.8,44.6,0,38,0,3.2
20000071,249,36652226,27050,0,1092,0,0,4,40,178,38,419,13,19.15384615,2080.769231,0,84,0,13.69230769
20000072,679,47896082,72759,0,600,0,17,187,64,554,201,58,10,67.9,7275.9,0,60,1.7,55.4
20000079,1,784468,213,0,141,0,0,0,0,7,0,17,1,1,213,0,141,0,7
20000082,4,841591,182,0,46,0,0,0,0,2,0,5,1,4,182,0,46,0,2
20000085,101,24319101,69028,0,1293,0,0,27,31,181,48,206,6,16.83333333,11504.66667,0,215.5,0,30.16666667
20000088,602,263808810,33304,0,3447,0,4,252,140,696,268,368,15,40.13333333,2220.266667,0,229.8,0.266666667,46.4
20000090,316,8637271,4965,0,879,0,0,0,3,26,4,6,9,35.11111111,551.6666667,0,97.66666667,0,2.888888889
20000092,8,651124546,31496,0,30,0,0,0,9,21,8,961,9,0.888888889,3499.555556,0,3.333333333,0,2.333333333
20000096,2,13039541,359,0,83,0,0,0,5,13,4,1,2,1,179.5,0,41.5,0,6.5
20000107,26,71238803,1946,0,682,0,0,15,8,130,21,12,8,3.25,243.25,0,85.25,0,16.25
20000109,20,46823,2,0,0,0,0,29,8,29,19,0,3,6.666666667,0.666666667,0,0,0,9.666666667
20000111,149,24258735,5339,0,1145,0,0,6,31,155,31,173,14,10.64285714,381.3571429,0,81.78571429,0,11.07142857
20000112,190,102719271,23875,0,947,0,5,157,24,257,110,40,13,14.61538462,1836.538462,0,72.84615385,0.384615385,19.76923077
20000113,13,1795417,114,0,251,0,0,0,0,20,0,3,4,3.25,28.5,0,62.75,0,5
20000117,499,760109571,1290,0,13561,0,0,62,470,356,388,0,15,33.26666667,86,0,904.0666667,0,23.73333333
20000124,432,609662121,76559,0,6775,0,2,40,138,622,131,821,15,28.8,5103.933333,0,451.6666667,0.133333333,41.46666667
20000127,7,3033809,20020,0,9,0,0,0,1,6,1,0,2,3.5,10010,0,4.5,0,3
20000130,139,397881860,30551,0,4466,0,5,53,40,465,64,422,14,9.928571429,2182.214286,0,319,0.357142857,33.21428571
20000131,103,315596665,135820,0,2735,0,1,97,66,337,108,617,15,6.866666667,9054.666667,0,182.3333333,0.066666667,22.46666667
20000135,3998,1080547267,74407,0,51,0,0,5,7,47,11,605,15,266.5333333,4960.466667,0,3.4,0,3.133333333
20000143,32,14031948,96,0,86,0,0,2,1,27,2,4,2,16,48,0,43,0,13.5
20000154,62,41390924,46849,0,269,0,0,4,29,101,28,263,8,7.75,5856.125,0,33.625,0,12.625
20000157,1301,23969413,222537,0,297,0,0,580,28,1051,578,5,15,86.73333333,14835.8,0,19.8,0,70.06666667
20000177,102,14966076,2266,0,272,0,1,10,9,47,17,67,12,8.5,188.8333333,0,22.66666667,0.083333333,3.916666667
20000184,6972,1298657235,62726,0,48,0,0,0,4,79,4,0,15,464.8,4181.733333,0,3.2,0,5.266666667
20000196,9,11137705,82981,0,70888,0,0,0,54,249,54,0,12,0.75,6915.083333,0,5907.333333,0,20.75
20000203,41,30294911,4983,0,255,0,0,5,5,60,5,58,4,10.25,1245.75,0,63.75,0,15
20000206,241,306293745,94684,0,2792,0,2,95,59,404,101,43,14,17.21428571,6763.142857,0,199.4285714,0.142857143,28.85714286
20000207,149,22249252,91151,0,1395,0,0,9,20,240,24,241,11,13.54545455,8286.454545,0,126.8181818,0,21.81818182
20000208,41,563795,1523,0,166,0,0,0,3,15,3,70,3,13.66666667,507.6666667,0,55.33333333,0,5
20000209,96,106513625,59576,0,1334,0,0,73,7,180,58,197,12,8,4964.666667,0,111.1666667,0,15
20000217,236,228939694,73069,0,1874,0,7,33,29,275,48,39,7,33.71428571,10438.42857,0,267.7142857,1,39.28571429
20000222,95,69811716,2483,0,721,0,0,7,37,116,27,56,11,8.636363636,225.7272727,0,65.54545455,0,10.54545455
20000239,91,213539416,10807,0,2529,0,0,165,55,315,117,261,11,8.272727273,982.4545455,0,229.9090909,0,28.63636364
20000249,93,16392938,701,0,83,0,0,2,52,47,23,2,9,10.33333333,77.88888889,0,9.222222222,0,5.222222222
20000252,378,392283858,21718,0,3526,0,0,90,35,332,70,48,14,27,1551.285714,0,251.8571429,0,23.71428571
20000257,92,8213979,181,0,94,0,0,2,7,18,8,11,4,23,45.25,0,23.5,0,4.5
20000270,34,6463388,326,0,158,0,0,0,1,17,1,19,4,8.5,81.5,0,39.5,0,4.25
20000278,224,55254629,15976,0,1421,0,0,1,35,176,31,34,8,28,1997,0,177.625,0,22
20000290,5,1688862,11262,0,412,0,0,0,6,30,6,68,4,1.25,2815.5,0,103,0,7.5
20000297,48,147818557,40880,0,1276,0,0,10,25,138,22,51,11,4.363636364,3716.363636,0,116,0,12.54545455
20000308,74,141176135,76301,0,2010,0,0,6,14,162,20,148,14,5.285714286,5450.071429,0,143.5714286,0,11.57142857
20000311,4074,585307029,39455,0,72,0,0,43,4,93,43,27,13,313.3846154,3035,0,5.538461538,0,7.153846154
20000316,595,358808938,168431,0,3979,0,0,163,43,493,153,564,15,39.66666667,11228.73333,0,265.2666667,0,32.86666667
20000328,2,320509,5315,0,99,0,0,0,1,9,1,45,2,1,2657.5,0,49.5,0,4.5
20000337,28,224541,64,0,18,0,0,0,8,5,6,0,3,9.333333333,21.33333333,0,6,0,1.666666667
20000343,295,379809859,2973,0,3410,0,0,17,122,379,104,63,15,19.66666667,198.2,0,227.3333333,0,25.26666667
20000350,1129,479411310,46720,0,19272,0,0,193,30,230,167,3000,14,80.64285714,3337.142857,0,1376.571429,0,16.42857143
20000361,17,1551915,30961,0,886,0,0,0,5,38,5,32,6,2.833333333,5160.166667,0,147.6666667,0,6.333333333
20000365,1,4830,0,0,2,0,0,0,0,3,0,0,1,1,0,0,2,0,3
20000366,356,272913873,2886,0,2353,0,0,10,33,189,21,82,15,23.73333333,192.4,0,156.8666667,0,12.6
20000367,1150,171714701,123194,0,2187,0,8,741,174,1183,673,122,13,88.46153846,9476.461538,0,168.2307692,0.615384615,91
20000375,1,4166,0,0,0,0,0,1,0,6,1,1,3,0.333333333,0,0,0,0,2
20000387,398,314653638,17102,0,2581,0,0,30,60,414,49,45,14,28.42857143,1221.571429,0,184.3571429,0,29.57142857
20000393,153,3434276,11477,0,497,0,0,0,10,53,10,136,9,17,1275.222222,0,55.22222222,0,5.888888889
20000404,123,222325,272,0,242,0,0,0,2,5,2,4,3,41,90.66666667,0,80.66666667,0,1.666666667
20000405,11137,616150845,41548,0,6938,0,0,87,263,343,304,1,15,742.4666667,2769.866667,0,462.5333333,0,22.86666667
20000412,58,6267851,74,0,8,0,0,0,2,12,1,0,2,29,37,0,4,0,6
20000415,99,158958358,24326,0,1271,0,0,45,34,170,51,255,12,8.25,2027.166667,0,105.9166667,0,14.16666667
20000422,255,382118708,232186,0,4453,0,0,68,88,553,115,263,14,18.21428571,16584.71429,0,318.0714286,0,39.5
20000427,3808,38352741,71146,0,129,0,0,33,26,143,63,5,13,292.9230769,5472.769231,0,9.923076923,0,11
20000435,133,196572118,1593,0,1163,0,1,17,52,119,41,7,11,12.09090909,144.8181818,0,105.7272727,0.090909091,10.81818182
20000436,3008,63806265,32041,0,719,0,0,132,233,369,315,5,7,429.7142857,4577.285714,0,102.7142857,0,52.71428571
20000439,6,10389198,3858,0,751,0,0,0,25,134,24,174,10,0.6,385.8,0,75.1,0,13.4
20000454,43,12973754,529,0,268,0,0,1,10,35,8,13,9,4.777777778,58.77777778,0,29.77777778,0,3.888888889
20000456,318,98185519,31735,0,2621,0,0,14,35,424,116,40,11,28.90909091,2885,0,238.2727273,0,38.54545455
20000457,428,769943967,65790,0,5064,0,1,25,55,624,46,436,14,30.57142857,4699.285714,0,361.7142857,0.071428571,44.57142857
20000466,2658,295972122,131651,0,125,0,0,171,141,355,265,2864,13,204.4615385,10127,0,9.615384615,0,27.30769231
20000470,31,35133636,786,0,59,0,0,3,21,96,21,19,4,7.75,196.5,0,14.75,0,24
20000478,2000,864254386,60339,0,2347,0,0,0,98,128,91,1373,15,133.3333333,4022.6,0,156.4666667,0,8.533333333
