actor_account,login_count,logout_count,login_day_count,play_time,avg_money,ip_count,max_level,playtime_per_day
20000000,25,24,1,216416,-31.81890433,25,36,24046.22222
20000005,259,259,1,637926,124.8494653,259,0,42528.4
20000011,13,12,1,451598,0.537807962,13,22,75266.33333
20000016,38,37,1,401885,43.5099618,38,42,28706.07143
20000025,222,221,1,424827,82.6217166,222,0,28321.8
20000029,461,458,1,648635,-52.25292807,461,0,43242.33333
20000033,43,42,1,240334,-6.613812444,43,38,17166.71429
20000035,25,24,1,1205493,0.088530585,25,0,80366.2
20000041,49,48,1,187301,57.57229273,49,44,12486.73333
20000042,19,18,1,173932,6.579496585,19,29,57977.33333
20000045,1,1,1,174,0,1,0,174
20000051,110,109,1,457433,-32.87487785,110,0,30495.53333
20000054,7,7,1,77093,0.126470626,7,19,15418.6
20000061,161,160,1,1222761,6.296686761,161,0,81517.4
20000063,48,46,1,382517,5.809707804,48,47,25501.13333
20000064,9,9,1,14596,164.2089614,9,0,2919.2
20000071,50,48,1,218017,-3.236921891,50,31,16770.53846
20000072,35,36,1,287488,0.135984806,35,36,28748.8
20000079,2,2,1,12862,-14.39589488,2,15,12862
20000082,1,1,1,2651,76.16861562,1,0,2651
20000085,13,13,1,187187,0.238793292,13,28,31197.83333
20000087,3,3,1,11149,0.167369271,3,7,3716.333333
20000088,115,116,1,630830,-13.05386396,115,37,42055.33333
20000090,82,82,1,84170,0,82,23,9352.222222
20000092,17,16,1,608387,25.87390263,17,0,67598.55556
20000096,6,6,1,7643,-846.9702996,6,0,3821.5
20000105,1,1,1,12094,0.727468166,1,8,12094
20000107,25,25,1,96641,16.83486305,25,48,12080.125
20000108,19,19,1,20567,-2651.777556,19,0,1869.727273
20000109,3,3,1,10084,-13.01408171,3,0,3361.333333
20000111,59,59,1,195585,-3.305631822,59,29,13970.35714
20000112,42,41,1,145355,-1.609961818,42,0,11181.15385
20000113,5,5,1,15095,-10.96263663,5,19,3773.75
20000117,36,35,1,1148470,0.272719357,36,0,76564.66667
20000124,176,175,1,512291,16.75920327,176,48,34152.73333
20000126,8,8,1,1567,409.5673261,8,0,261.1666667
20000127,2,2,1,7695,-140.1756985,2,0,3847.5
20000130,198,199,1,403411,20.76322906,198,41,28815.07143
20000131,171,170,1,541396,0.920272776,171,41,36093.06667
20000135,15,13,1,1096369,-9.543346264,15,50,73091.26667
20000143,12,12,1,17418,59.16035136,12,0,8709
20000154,28,28,1,128679,-36.47134342,28,39,16084.875
20000155,1,1,1,231,0,1,0,231
20000157,66,68,1,1134932,-0.129717904,66,0,75662.13333
20000175,2,2,1,147,0,2,0,147
20000177,17,15,1,84271,10.98169002,17,28,7022.583333
20000184,22,20,1,1160285,-64.41826189,22,0,77352.33333
20000196,42,41,1,946368,-0.253208054,42,0,78864
20000203,13,13,1,58898,4.021664573,13,18,14724.5
20000206,251,250,1,330904,-34.19977093,251,40,23636
20000207,25,22,1,221538,-0.449241214,25,28,20139.81818
20000208,5,4,1,16571,2.202462133,5,12,5523.666667
20000209,115,113,1,105727,179.2045078,115,0,8810.583333
20000214,1,1,1,131,0,1,0,131
20000215,32,31,1,143304,6.585740803,32,0,13027.63636
20000217,80,79,1,273560,9.656038895,80,43,39080
20000222,45,45,1,97283,-60.4609644,45,39,8843.909091
20000223,1,1,1,413,0,1,0,413
20000239,43,42,1,194120,-105.7796466,43,0,17647.27273
20000249,14,14,1,13706,19.47191011,14,5,1522.888889
20000252,121,121,1,242827,16.66830295,121,0,17344.78571
20000257,6,6,1,22945,7.118893005,6,0,5736.25
20000266,1,1,1,5153,0.297302542,1,4,5153
20000270,5,4,1,20775,27.70194946,5,28,5193.75
20000278,61,61,1,137298,-35.8268875,61,39,17162.25
20000279,56,56,1,29606,264.8170979,56,0,1973.733333
20000282,1,1,1,286,1261.493007,1,0,286
20000290,5,4,1,30499,9.850585265,5,16,7624.75
20000297,19,19,1,136657,-32.5310522,19,47,12423.36364
20000308,107,106,1,245922,428.4629557,107,41,17565.85714
20000311,20,18,1,1054317,-0.302942094,20,47,81101.30769
20000316,191,191,1,349486,-42.53814745,191,31,23299.06667
20000328,6,6,1,11707,0.352097036,6,11,5853.5
20000337,3,3,1,9112,-0.368964004,3,0,3037.333333
20000343,53,53,1,444172,-45.7850675,53,0,29611.46667
20000344,1,1,1,94,0,1,0,94
20000350,18,17,1,1110169,-10.10721611,18,47,79297.78571
20000355,1,1,1,518,0.579150579,1,0,518
20000361,30,29,1,64201,-0.903880002,30,15,10700.16667
20000365,1,1,1,705,5.234042553,1,0,705
20000366,42,42,1,190818,33.9841996,42,50,12721.2
20000367,64,63,1,419580,50.31652843,64,0,32275.38462
20000371,3,3,1,723,-1166.863071,3,0,723
20000375,6,6,1,4049,-1.889108422,6,0,1349.666667
20000387,134,134,1,371994,-19.20943886,134,40,26571
20000393,24,24,1,56151,11.29377927,24,19,6239
20000404,3,2,1,12327,20.06733187,3,10,4109
20000405,17,15,1,1084347,21.62688881,17,46,72289.8
20000412,4,4,1,20204,116.6161156,4,0,10102
20000415,35,35,1,268967,-4.4920678,35,0,22413.91667
20000422,94,95,1,429329,26.71694901,94,23,30666.35714
20000427,32,31,1,947297,-0.055102043,32,31,72869
20000435,30,30,1,151628,15.63764608,30,49,13784.36364
20000436,18,18,1,432797,-0.3817032,18,30,61828.14286
20000439,20,18,1,154836,1.197919089,20,24,15483.6
20000440,1,1,1,209,-287081.3397,1,0,209
20000454,50,50,1,76262,-6.033647164,50,23,8473.555556
20000456,18,18,1,164903,34.5989703,18,0,14991.18182
20000457,178,179,1,689146,33.56321592,178,0,49224.71429
20000466,35,35,1,977997,-0.001957061,35,40,75230.53846
20000470,12,12,1,68074,-41.08521609,12,35,17018.5
20000478,18,15,1,1166364,-0.053995151,18,0,77757.6
20000479,34,31,1,420401,-45.08545413,34,0,28026.73333
20000482,45,44,1,376299,1.196875357,45,0,26878.5
20000491,8,8,1,78748,46.99244425,8,0,15749.6
20000508,4,4,1,14586,-1579.746469,4,0,3646.5
20000509,1,1,1,2890,0.470934256,1,0,2890
20000510,1,1,1,10665,192.0316925,1,0,10665
20000512,15,13,1,828781,15.47085901,15,35,69065.08333
20000513,48,49,1,154184,8.613838012,48,33,11013.14286
20000518,85,85,1,221198,-34.82927965,85,43,20108.90909
20000526,2,2,1,3590,-27.85376045,2,0,3590
20000529,26,30,1,559373,0.308270152,26,34,50852.09091
20000530,1,1,1,2748,0,1,0,2748
20000544,13,13,1,37608,17.49305999,13,30,6268
20000549,5,5,1,1264,-18988.90902,5,0,421.3333333
20000550,4,4,1,15222,-4.786756011,4,16,5074
20000552,103,104,1,493728,26.39557003,103,49,32915.2
20000558,290,290,1,522497,2.893337187,290,37,34833.13333
20000559,7,7,1,25400,-74.48047244,7,0,6350
20000560,1,1,1,308,-68.38636364,1,0,308
20000581,75,76,1,139876,-90.13689268,75,36,10759.69231
20000584,2,2,1,24075,6.72701973,2,14,12037.5
20000585,69,69,1,161807,-6.001631573,69,33,14709.72727
20000601,36,35,1,242071,15.28913831,36,50,22006.45455
20000606,1,1,1,1655,0,1,0,1655
20000633,3,3,1,7202,-12509.88156,3,0,3601
20000640,1,1,1,188,-372.3404255,1,0,188
20000641,14,14,1,1055422,6.484012082,14,0,81186.30769
20000644,47,47,1,63901,558.9295473,47,0,4564.357143
20000646,9,10,1,54623,8.75735496,9,16,6827.875
20000649,17,16,1,398888,0.390746275,17,0,66481.33333
20000650,214,214,1,358621,-19.58437738,214,25,35862.1
20000654,1,1,1,10771,57.46337387,1,8,10771
20000657,20,20,1,90687,5.273346786,20,22,10076.33333
20000659,3,3,1,559,47.6940966,3,0,559
20000689,62,61,1,264077,48.0110233,62,39,17605.13333
20000690,27,26,1,155198,20.31568061,27,28,15519.8
20000692,13,13,1,16841,95.14340004,13,0,3368.2
20000693,2,2,1,7501,8.439808026,2,7,7501
20000695,1,1,1,35,0,1,0,35
20000705,59,59,1,179527,-12.03827836,59,37,19947.44444
20000706,15,15,1,102569,5.641324377,15,23,34189.66667
20000707,10,10,1,22920,21.91356894,10,18,7640
20000719,43,41,1,546486,-4.394987246,43,0,36432.4
20000726,5,5,1,26657,30.82481149,5,0,8885.666667
20000727,19,19,1,46409,-149.0262018,19,0,7734.833333
20000731,103,102,1,308701,-71.63764938,103,0,22050.07143
20000735,1,1,1,196,0,1,0,196
20000741,41,41,1,373738,2.713336615,41,37,26695.57143
20000744,11,11,1,57095,-1.944653647,11,0,11419
20000749,1,1,1,3733,0.091883204,1,5,3733
20000751,77,77,1,73288,-18.42701397,77,36,5637.538462
20000761,80,80,1,91345,-9.787596475,80,30,7612.083333
20000765,32,32,1,963032,-1.157753844,32,37,74079.38462
20000766,9,10,1,111835,-1.90122949,9,25,15976.42857
20000776,1,1,1,11238,0,1,0,11238
20000799,70,70,1,103424,9.957321318,70,43,14774.85714
20000814,7,7,1,26044,75.02315313,7,0,6511
20000816,8,8,1,82786,0.353344768,8,13,13797.66667
20000817,63,63,1,248938,-42.3849111,63,25,16595.86667
20000827,71,69,1,256137,-35.3550756,71,0,17075.8
20000833,87,86,1,289844,311.4647466,87,0,20703.14286
20000837,29,30,1,185384,43.08193803,29,50,18538.4
20000839,1,1,1,7121,66.35458503,1,0,7121
20000841,42,42,1,110106,-16.83683905,42,0,9175.5
20000843,3,3,1,11061,27.4099991,3,7,5530.5
20000845,2,2,1,370,0,2,0,185
20000848,2,2,1,126,-37056.28571,2,0,126
20000850,50,49,1,448004,-3.168098946,50,12,29866.93333
20000852,4,4,1,7158,-8.40765577,4,0,7158
20000860,62,61,1,392602,-14.08480344,62,0,26173.46667
20000862,2,2,1,60,0,2,0,60
20000865,224,223,1,371700,-23.9868523,224,39,24780
20000868,15,12,1,960198,-7.958057609,15,0,64013.2
20000871,3,3,1,13302,23.73575402,3,21,4434
20000874,1,1,1,4568,-47.61668126,1,0,4568
20000880,7,6,1,31988,-0.881799425,7,26,7997
20000892,429,428,1,623741,0.125141685,429,0,41582.73333
20000907,1,1,1,38,0,1,0,38
20000909,99,98,1,459903,11.49882693,99,15,30660.2
20000918,3,3,1,6991,-5468.685453,3,0,3495.5
20000922,18,18,1,100216,25.25719446,18,45,11135.11111
20000929,1,1,1,176,-113636.3636,1,0,176
20000934,61,61,1,159230,60.82466244,61,28,11373.57143
20000944,1,1,1,49,0,1,0,49
20000945,5,5,1,14205,70.48271735,5,42,4735
20000946,8,8,1,9106,-96.86679113,8,0,4553
20000949,35,35,1,118028,-16.8270241,35,47,9835.666667
20000954,5,5,1,7762,-1245.997295,5,0,3881
20000959,311,312,1,562309,-180.8118454,311,29,37487.26667
20000960,18,18,1,122353,16.14228503,18,49,15294.125
20000968,52,52,1,530020,0.062159918,52,0,35334.66667
20000971,234,232,1,795390,-1.208211066,234,39,53026
20000974,96,95,1,278178,74.27132268,96,0,18545.2
20000979,1,1,1,260,-33.51923077,1,0,260
20000983,82,83,1,488991,20.03154455,82,49,32599.4
20000988,72,72,1,367565,15.90543441,72,15,36756.5
20000993,2,2,1,614,0.278501629,2,2,614
20000994,109,108,1,246857,-32.95713308,109,30,16457.13333
20000998,9,9,1,25599,-0.06879175,9,0,12799.5
20001012,55,53,1,470581,96.81533466,55,0,31372.06667
20001013,3,3,1,12797,18.42080175,3,0,6398.5
20001025,104,105,1,416544,-125.1594405,104,13,27769.6
20001026,230,228,1,725413,-7.808365717,230,34,51815.21429
20001032,106,104,1,439125,31.61753487,106,50,29275
20001033,12,13,1,36761,1.946301787,12,26,18380.5
20001035,28,29,1,202736,-86.6657969,28,35,13515.73333
20001042,18,16,1,1119521,-8.869617452,18,0,74634.73333
20001050,179,177,1,678805,19.26626203,179,47,45253.66667
20001052,3,3,1,8447,-0.008878892,3,8,4223.5
20001054,2,2,1,2834,47.12808751,2,0,1417
20001056,16,18,1,40389,11.53222412,16,0,8077.8
20001057,2,2,1,684,-19.65643275,2,0,684
20001066,40,39,1,372547,70.91891493,40,49,26610.5
20001082,1,1,1,137,-11.35766423,1,0,137
20001088,11,11,1,49628,19.76746998,11,42,24814
20001098,10,11,1,383312,-11.03820126,10,40,95828
20001110,1,1,1,4924,0.078797725,1,5,4924
20001111,71,71,1,124237,10.94499223,71,38,17748.14286
20001112,84,84,1,361079,-54.75933798,84,0,25791.35714
20001113,216,217,1,399319,-43.11693408,216,43,26621.26667
20001116,6,6,1,20767,2.132469784,6,20,6922.333333
20001126,84,84,1,51212,1320.152289,84,0,3414.133333
20001127,18,18,1,41370,1.75774716,18,38,6895
20001129,77,76,1,326822,13.82126662,77,30,29711.09091
20001132,15,15,1,78034,0.386216265,15,16,15606.8
20001135,54,54,1,503510,1.09396437,54,0,33567.33333
20001144,43,44,1,186044,23.04164069,43,31,16913.09091
20001146,6,6,1,1650,-0.723636364,6,0,550
20001167,24,23,1,1215245,4.827983658,24,50,86803.21429
20001170,4,4,1,2094,10.63467049,4,0,2094
20001175,164,162,1,321282,21.27573907,164,38,24714
20001194,73,74,1,240223,-2.285813598,73,35,17158.78571
20001195,1,1,1,456,32.89473684,1,0,456
20001201,132,130,1,456211,-150.6877037,132,40,30414.06667
20001208,15,16,1,43959,-48.09720421,15,0,7326.5
20001210,2,2,1,945,-5.975661376,2,0,472.5
20001214,4,4,1,1037,0,4,0,518.5
20001222,31,29,1,991702,-0.625151507,31,38,76284.76923
20001225,29,27,1,1007850,-0.204296274,29,43,77526.92308
20001229,1,1,1,6011,0.650973216,1,7,6011
20001231,11,12,1,142332,43.04599809,11,0,14233.2
20001232,4,4,1,13513,1.960334493,4,14,4504.333333
20001239,24,22,1,375198,8.406678607,24,34,62533
20001241,2,2,1,1038,-0.342967245,2,0,519
20001242,2,2,1,3274,0.256566891,2,5,3274
20001251,142,142,1,590422,-27.10989428,142,48,42173
20001253,124,123,1,397758,-3.69911856,124,0,28411.28571
20001256,72,71,1,194673,-10.65279212,72,44,24334.125
20001264,72,71,1,299018,-0.228314015,72,43,19934.53333
20001272,37,37,1,24565,1383.134337,37,0,2456.5
